"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3725779",9.04062295568983,8.90650047133923,7.44016399828015,7.70596532035503,8.38899771872487,8.19160046987973,7.89229227382859,8.42566029166366
"3725790",8.97156166184575,8.86754030208733,6.95009029174305,7.61226698957002,8.13427852554668,8.00852144616482,7.43089178979637,8.37425865319392
"3725793",4.89649067361728,5.31684277311968,6.36273303140981,6.41400670256148,5.13727680760817,4.94592124107022,5.40998652014379,5.11444408854646
"3725795",9.228183986418,9.04739569589561,6.64127488777909,7.45455127833346,8.30799023919954,8.29420990497136,7.97682946292946,8.38607877645135
"3725796",10.0855085012561,10.0769054918578,6.83984579708186,7.66869283305111,9.58622973840645,9.43344212580656,8.95480589706844,9.70966861400133
"3725800",6.51277700049654,5.68936108506993,3.74881552734428,4.51430811697999,7.02200165410062,6.13148861683762,4.44379906357683,5.94427980405838
"3725801",8.79892287532827,8.73790777440041,5.45409451318673,7.03333491985323,8.39330216021429,8.21116832401915,7.8220666008656,8.6172700639156
"3725802",9.84033269414273,9.89529253499791,8.42759996368365,8.72480672377882,8.91650547700182,8.5665979880659,8.24168136560586,8.79028326137642
"3725803",7.17146569420924,6.72947625114113,6.2119081135492,7.41195898673212,6.58571430929168,6.40360107873672,6.19288393194149,6.47433276601385
"3725804",5.37859241401256,4.42117188182797,7.78315242022349,6.29777300761774,3.77756781855222,4.39095381796821,3.53977866421638,4.45686180979335
"3725806",9.06877509384158,9.11912407623229,8.42334220877119,7.24226121235812,9.27170670384712,9.09284047916477,8.20617311428009,8.89837203476893
"3725808",8.27844540020939,8.22743256075509,7.82086984402147,7.32092364383313,8.40050136087747,8.39023072139377,7.7064928253003,8.27193334130104
"3725809",9.52779005711799,9.52112284826252,7.46447281862378,6.59460841234028,9.42014048816073,9.20940789876732,8.91889169213131,9.45135701144596
"3725811",9.5559011328132,9.55259477260395,8.69605917582592,7.07010836990339,9.64795487375613,9.20343633131697,9.19235312000159,9.36449230007808
"3725813",9.2700177556134,8.94845274418293,9.61949180441764,8.55243741977715,9.30762111173523,8.88303608932624,8.82327761526698,8.94896991482876
"3725815",8.72249933644872,8.55369432020395,8.73632074954231,6.77196161054119,9.29446622839162,8.85137919127943,8.20153256139201,8.90952022061518
"3725818",9.38135569037708,9.0784410830875,8.84554193540982,6.83796567840486,9.25803378347486,8.71599214614528,8.71538421190358,8.9971698245914
"3725819",10.2039841918061,10.219268373163,9.89474154940829,8.61529043060116,9.85295754470927,9.8140474989261,9.45737194721339,9.96659630771754
"3725820",7.95323954297608,7.2678198594844,8.6091532766044,7.50189322522164,7.50866006435706,6.96301230094866,7.13207139588391,7.56585083446043
"3725821",10.6480813734976,10.4132160166461,11.7160511294306,11.2077524422074,9.58109320008728,9.24974174737184,9.37755026710636,9.39474682584973
"3725822",8.2970773322658,7.93671421809676,10.298840686519,9.41463430972917,5.79611873556422,5.64121096617461,4.88246214418136,5.99113735102213
"3725824",6.73682891605893,6.90795035431057,6.29870649964795,6.85170141177199,6.86000090300995,7.11525459083085,7.44665347450507,7.18431573995582
